instance_type,cpu_cores,mem_capacity
t3.nano,2,0.5
t3.small,2,2
t3.xlarge,4,16
t3a.2xlarge,8,32
t3a.large,2,8
t3a.medium,2,4
t3a.micro,2,1
t3a.nano,2,0.5
t3a.small,2,2
t3a.xlarge,4,16
t4g.2xlarge,8,32
t4g.large,2,8
t4g.medium,2,4
t4g.micro,2,1
t4g.nano,2,0.5
t4g.xlarge,4,16
u-12tb1.metal,448,12288
u-18tb1.metal,448,18432
u-24tb1.metal,448,24576
u-6tb1.metal,448,6144
u-9tb1.metal,448,9216
x1.16xlarge,64,976
x1.32xlarge,128,1952
x1e.16xlarge,64,1952
x1e.2xlarge,8,244
x1e.32xlarge,128,3904
x1e.4xlarge,16,488
x1e.8xlarge,32,976
x1e.xlarge,4,122
z1d.12xlarge,48,384
z1d.2xlarge,8,64
z1d.3xlarge,12,96
z1d.6xlarge,24,192
z1d.large,2,16
z1d.metal,48,384
z1d.xlarge,4,32
