vendor_action,event_group,action,change_type,object_category
repo.update_default_branch,change_all,modified,filesystem,Repository
repo.update_integration_secret,change_all,modified,filesystem,Repository
repo.add_topic,change_all,modified,filesystem,Repository
repo.codeql_enabled,change_all,modified,filesystem,Repository
repo.pages_cname,change_all,modified,filesystem,Repository
repo.pages_create,change_all,modified,filesystem,Repository
repo.pages_destroy,change_all,modified,filesystem,Repository
repo.pages_https_redirect_disabled,change_all,modified,filesystem,Repository
repo.pages_https_redirect_enabled,change_all,modified,filesystem,Repository
repo.pages_private,change_all,modified,filesystem,Repository
repo.pages_public,change_all,modified,filesystem,Repository
repo.pages_source,change_all,modified,filesystem,Repository
repo.remove_topic,change_all,modified,filesystem,Repository
repo.set_actions_fork_pr_approvals_policy,change_all,modified,filesystem,Repository
repo.set_actions_retention_limit,change_all,modified,filesystem,Repository
team.add_repository,change_all,modified,filesystem,Team
team.remove_repository,change_all,modified,filesystem,Team
team.rename,change_all,modified,filesystem,Team
team.update_repository_permission,change_all,modified,filesystem,Team
