EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype,user
4624,0,Info,1003853019,"1471901566.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488756545,"1471903057.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488760483,"1471903216.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4768,0,Info,69490455,"1471904009.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488782823,"1471904400.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488793505,"1471904950.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488796877,"1471905128.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2488818109,"1471906173.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4648,0,Info,2488818044,"1471906173.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488818531,"1471906186.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69516237,"1471906427.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,2488826544,"1471906535.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488829541,"1471906652.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488833907,"1471906805.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488836188,"1471906892.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488842763,"1471907187.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488844139,"1471907262.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,118646936,"1471907480.000","anon_ComputerName_12","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,108052004,"1471907483.000","anon_ComputerName_14","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,71626298,"1471907484.000","anon_ComputerName_5","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,551269787,"1471907492.000","anon_ComputerName_15","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488871789,"1471908708.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488887358,"1471909570.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488895171,"1471909911.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142612721,"1471910403.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69571640,"1471910666.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
