"_time",accountId,awsRegion,eventName,sourcetype,"src_ip",user,userAgent
"1516520549.000",161858552000,"ap-southeast-1",ListFunctions20150331,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520549.000",28845306800,"ap-southeast-2",ListFunctions20150331,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520578.000",79481079200,"us-east-1",GetCallerIdentity,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520600.000",237151746400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520601.000",803857396800,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520660.000",179961230000,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520660.000",781227777600,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520720.000",815316121600,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520720.000",775575903600,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520776.000",801651944000,"eu-west-1",ListBuckets,"aws:cloudtrail","86.1.123.21",bob,"[Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95]"
"1516520776.000",310657124400,"eu-west-1",ListFunctions20150331,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520776.000",290846874400,"eu-west-3",ListFunctions20150331,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520776.000",111421972800,"us-east-1",ListDistributions,"aws:cloudtrail","86.1.123.21",bob,"Boto/2.47.0 Python/2.7.13 Linux/4.4.0-109-generic"
"1516520776.000",546551572000,"us-east-1",ListUsers,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520776.000",666473500000,"us-east-1",ListAccessKeys,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520776.000",570603625200,"us-east-1",GetAccountPasswordPolicy,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520776.000",114605922800,"us-east-1",ListDistributions,"aws:cloudtrail","86.1.123.21",bob,"Boto/2.47.0 Python/2.7.13 Linux/4.4.0-109-generic"
"1516520777.000",2244977200,"us-east-1",ListAccessKeys,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520777.000",104119333200,"us-east-1",ListAccessKeys,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520777.000",545722647600,"us-east-1",ListAccessKeys,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520779.000",153117585600,"eu-west-1",ListFindings,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520779.000",503248613200,"eu-west-1",ListAssessmentRuns,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516520780.000",536875325600,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520780.000",655578878400,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520840.000",29239696400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516520840.000",547790005600,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
