vendor_action_id,vendor_action_description,action,object_category,object,change_type,object_attrs,status
20058,AUTHMGR_AGENT_GROUP_LINK,modified,agent,,AAA,,
20059,AUTHMGR_AGENT_GROUP_UNLINK,modified,agent,,AAA,,
20081,AUTHMGR_FILE_CREATE,created,file,,filesystem,,
20061,AUTHMGR_NODE_SECRET_EXPORTED,read,agent,,filesystem,,
20087,AUTH_NODE_SECRET_FILE_DOWNLOADED,read,file,,filesystem,,
20063,AUTHMGR_AGENT_CLEAR_NODESECRET,modified,agent,,filesystem,,
20070,AUTHMGR_APS_LIST_CREATE,created,server list,,filesystem,,
20072,AUTHMGR_APS_LIST_UPDATE,modified,server list,,filesystem,,
20071,AUTHMGR_APS_LIST_DELETE,deleted,server list,,filesystem,,
20088,AUTHMGR_SERVER_CONFIG_DOWNLOAD,read,file,,AAA,,
30026,UCM_MAIL_NOTIFICATION_TEMPLATE_UPDATE,modified,policy,action key,AAA,,
26073,ADJUDICATOR_SERVICE_SHUTDOWN,stopped,service,adjudicator service,AAA,,
26072,ADJUDICATOR_SERVICE_STARTUP,started,service,adjudicator service,AAA,,
16366,FIPS_ENABLED,modified,service,FIPS,AAA,,
26090,MESSAGE_PROCESSOR_STOP,stopped,message processor,message processor,AAA,,success
26195,OC_CHANGE_SYSTEM_TIMEZONE,modified,system,system configuration,AAA,,
16008,PLUGIN_LOADED,read,system,plug-in,AAA,,
16353,REGISTRY_INSTANCE_VERSION_UPDATE,modified,system,instance version,AAA,,
16177,SYSTEM_SHUTDOWN,stopped,system,system configuration,AAA,,
16176,SYSTEM_STARTUP,started,system,system configuration,AAA,,
30055,UCM_CREATE_WORKFLOW_POLICY,created,policy,Workflow Policy,AAA,,
30056,UCM_UPDATE_WORKFLOW_POLICY,modified,policy,Workflow Policy,AAA,,
30057,UCM_DELETE_WORKFLOW_POLICY,deleted,policy,Workflow Policy,AAA,,
10028,UPDATE_AUTH_POLICY,modified,policy,,AAA,,
30062,ASSOCIATE_WORK_FLOW_POLICIES_TO_SECURITY_DOMAIN,modified,policy,,AAA,,
20181,AM_RADIUS_LINK_PROFILE_PRINCIPAL,modified,policy,,AAA,,
20183,AM_RADIUS_UNLINK_PROFILE_PRINCIPAL,modified,policy,,AAA,,
20180,AM_RADIUS_LINK_PROFILE_AGENT,modified,policy,,AAA,,
20182,AM_RADIUS_UNLINK_PROFILE_AGENT,modified,policy,,AAA,,
13001,AUTHN_LOGOUT_EVENT,modified,user,,AAA,,
20186,AM_RADIUS_LINK_PROFILE_PRINCIPAL_ALIAS,modified,policy,,AAA,,
20187,AM_RADIUS_UNLINK_PROFILE_PRINCIPAL_ALIAS,modified,policy,,AAA,,
30024,UCM_USER_PROFILE_UPDATE,modified,policy,,AAA,,
30027,UCM_AUTHENTICATION_CONFIGURATION_UPDATE,modified,policy,,AAA,,
30010,UCM_RESET_PASSWORD,modified,user,,AAA,,
30017,UCM_UPDATE_USER_GROUPS,modified,group,,AAA,,
13002,AUTHN_PRINCIPAL_LOCKED,modified,user,,AAA,LDAP_Password,
16111,READ_PRINCIPAL,read,user,,AAA,,failure
20231,AUTHMGR_CTKIP_AUTHCODE_UPDATE,modified,policy,,AAA,,
10291,RESTORE_ADMIN,created,user,,AAA,,
20192,AM_APS_AUTO_REG_ENABLED,modified,policy,,AAA,,
20193,AM_APS_AUTO_REG_DEFAULT_REALM,modified,policy,,AAA,,
