vendor_action_id,vendor_action_description,event_type
10279,DELETE_WEBTIER_DEPLOYMENT,all_changes_event
10294,UPDATE_WEBTIER_CUSTOMIZATION,all_changes_event
20025,IMPORT_TOKEN,all_changes_event
20045,AM_LINK_TOKEN_PRINCIPAL,all_changes_event
20046,AM_UNLINK_TOKEN_PRINCIPAL,all_changes_event
20027,UPDATE_AM_TOKEN,all_changes_event
20266,RESYNC_AM_TOKEN_FAIL,all_changes_event
20009,AM_TOKEN_ENABLED,all_changes_event
20010,AM_TOKEN_DISABLED,all_changes_event
20039,AUTHMGR_TOKEN_SET_TOKENCODE_ONLY_PINTYPE,all_changes_event
20040,AUTHMGR_TOKEN_SET_PASSCODE_PINTYPE,all_changes_event
20028,DELETE_AM_TOKEN,all_changes_event
10209,DELETE_BATCH_JOB,all_changes_event
20089,EXPORT_SOFT_TOKEN,all_changes_event
20146,DISTRIBUTE_SOFT_TOKEN_CTKIP,all_changes_event
20011,AM_CLEAR_TOKEN_PIN,all_changes_event
20131,ENABLED_EA_FIXED_TOKENCODE,all_changes_event
20135,GENERATED_EA_FIXED_TOKENCODE,all_changes_event
20136,GENERATED_EA_ONE_TIME_TOKENCODE,all_changes_event
30007,UCM_TOKEN_PIN_CHANGE,all_changes_event
10003,UPDATE_REALM,all_changes_event
10298,UPDATE_SECURITY_DOMAIN_MAPPINGS,all_changes_event
10011,UPDATE_IDENTITY_SOURCE,all_changes_event
10009,CREATE_IDENTITY_SOURCE,all_changes_event
10010,DELETE_IDENTITY_SOURCE,all_changes_event
10255,BATCH_JOB_CLEANUP_UNRESOLVED_USERS_GROUPS_END,all_changes_event
10050,REMOVE_ORPHANED_GROUPS,all_changes_event
10253,CLEANUP_UNRESOLVED_USERS_IS_UNSPECIFIED_END,all_changes_event
10252,CLEANUP_UNRESOLVED_USERS_IS_UNSPECIFIED_START,all_changes_event
10254,BATCH_JOB_CLEANUP_UNRESOLVED_USERS_GROUPS_START,all_changes_event
10041,REGISTER_GROUP,all_changes_event
10257,REMOVE_UNRESOLVED_GROUP,all_changes_event
10052,REGISTER_PRINCIPAL,all_changes_event
10284,REMOVE_SECURITY_QUESTION_ANSWERS,all_changes_event
10206,EXPORT_PWD_DICTIONARY,all_changes_event
